=== TABLA DE SÍMBOLOS ===
NOMBRE               TIPO                 LÍNEA      COLUMNA   
main                 IDENTIFIER           12         5         
hola                 IDENTIFIER           56         6         
10                   INTEGER_LITERAL      6          9         
a                    IDENTIFIER           24         14        
"                    STRING_LITERAL       9          17        
b                    IDENTIFIER           28         9         
abc                  IDENTIFIER           20         12        
c                    IDENTIFIER           31         5         
test                 IDENTIFIER           27         5         
d                    IDENTIFIER           34         5         
e                    IDENTIFIER           37         12        
f                    IDENTIFIER           40         5         
mundo                IDENTIFIER           56         11        
100                  INTEGER_LITERAL      40         9         
123                  INTEGER_LITERAL      9          19        
200                  INTEGER_LITERAL      40         13        
3                    INTEGER_LITERAL      14         19        
5                    INTEGER_LITERAL      14         13        
502                  INTEGER_LITERAL      55         13        
x                    IDENTIFIER           6          5         
char                 CHAR_T               56         17        
y                    IDENTIFIER           9          8         
unsigned             IDENTIFIER           24         1         
z                    IDENTIFIER           14         9         
return               IDENTIFIER           17         5         
20                   INTEGER_LITERAL      28         13        
