=== TOKENS ENCONTRADOS ===
TOKEN                LEXEMA               LÍNEA      COLUMNA   
INTEGER_T            int                  6          1         
IDENTIFIER           x                    6          5         
ASIGNA               =                    6          7         
INTEGER_LITERAL      10                   6          9         
STRING_T             string               9          1         
IDENTIFIER           y                    9          8         
ASIGNA               =                    9          10        
STRING_LITERAL       "                    9          17        
INTEGER_LITERAL      123                  9          19        
INTEGER_T            int                  12         1         
IDENTIFIER           main                 12         5         
INTEGER_T            int                  14         5         
IDENTIFIER           z                    14         9         
ASIGNA               =                    14         11        
INTEGER_LITERAL      5                    14         13        
SUMA                 +                    14         15        
INTEGER_LITERAL      3                    14         19        
IDENTIFIER           return               17         5         
INTEGER_T            int                  20         5         
INTEGER_LITERAL      123                  20         9         
IDENTIFIER           abc                  20         12        
ASIGNA               =                    20         16        
INTEGER_LITERAL      10                   20         18        
IDENTIFIER           unsigned             24         1         
INTEGER_T            int                  24         10        
IDENTIFIER           a                    24         14        
ASIGNA               =                    24         16        
INTEGER_LITERAL      5                    24         18        
INTEGER_T            int                  27         1         
IDENTIFIER           test                 27         5         
INTEGER_T            int                  28         5         
IDENTIFIER           b                    28         9         
ASIGNA               =                    28         11        
INTEGER_LITERAL      20                   28         13        
INTEGER_T            int                  31         1         
IDENTIFIER           c                    31         5         
ASIGNA               =                    31         7         
INTEGER_LITERAL      10                   31         9         
INTEGER_LITERAL      5                    31         14        
INTEGER_T            int                  34         1         
IDENTIFIER           d                    34         5         
ASIGNA               =                    34         7         
INTEGER_T            int                  37         1         
STRING_T             string               37         5         
IDENTIFIER           e                    37         12        
ASIGNA               =                    37         14        
STRING_LITERAL       "                    37         24        
INTEGER_T            int                  40         1         
IDENTIFIER           f                    40         5         
ASIGNA               =                    40         7         
INTEGER_LITERAL      100                  40         9         
INTEGER_LITERAL      200                  40         13        
INTEGER_T            int                  43         1         
IDENTIFIER           main                 43         5         
IDENTIFIER           return               45         5         
IDENTIFIER           x                    45         12        
SUMA                 +                    45         14        
INTEGER_T            int                  48         1         
IDENTIFIER           x                    48         5         
ASIGNA               =                    48         7         
INTEGER_LITERAL      10                   48         9         
STRING_T             string               49         1         
IDENTIFIER           y                    49         8         
ASIGNA               =                    49         10        
STRING_LITERAL       "                    49         17        
INTEGER_T            int                  51         1         
IDENTIFIER           main                 51         5         
INTEGER_T            int                  52         5         
IDENTIFIER           x                    52         9         
ASIGNA               =                    52         11        
INTEGER_LITERAL      10                   52         15        
IDENTIFIER           return               53         5         
IDENTIFIER           x                    53         12        
INTEGER_T            int                  55         2         
STRING_T             string               55         6         
INTEGER_LITERAL      502                  55         13        
SUMA                 +                    56         2         
FINLINEA             ?                    56         4         
IDENTIFIER           hola                 56         6         
IDENTIFIER           mundo                56         11        
CHAR_T               char                 56         17        
