=== TOKENS ENCONTRADOS ===
TOKEN                LEXEMA               LINEA      COLUMNA   
IDENTIFIER           in1                  2          1         
MAYOR                >                    2          5         
IDENTIFIER           fl1                  2          7         
DISYUNCION           #                    2          11        
IDENTIFIER           hola                 2          13        
CONJUNCION           ^                    2          18        
ESH_IZ               ʃ                    2          20        
ESH_IZ               ʃ                    2          22        
IDENTIFIER           func2                2          24        
SUMA                 +                    2          30        
INTEGER_LITERAL      45                   2          32        
MENOR                <                    2          35        
INTEGER_LITERAL      56                   2          37        
EZH_DE               ʅ                    2          40        
SUMA                 +                    2          42        
ESH_IZ               ʃ                    2          45        
INTEGER_LITERAL      4                    2          47        
SUMA                 +                    2          49        
INTEGER_LITERAL      8                    2          51        
EZH_DE               ʅ                    2          53        
EZH_DE               ʅ                    2          55        
DISYUNCION           #                    2          57        
INTEGER_LITERAL      4                    2          59        
DISYUNCION           #                    2          61        
INTEGER_LITERAL      5                    2          63        
